"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"Gem",1,7,34693,54719,2697,"","46Tau Gem","",7.185659,30.245163,98.4252,-31,-48.4,4.41,"K2III",1.261,"Tau",,"Gem","north",59.754836999999995
"Gem",1,8,36366,58946,2852,"Gl 274A","62Rho Gem","",7.485195,31.78455,18.0473,159.33,193.82,4.16,"F0V...",0.32,"Rho",,"Gem","north",58.215450000000004
"Gem",1,9,,60178,2890,"Gl 278B","66Alp Gem","Castor B",7.576827,31.89052,15.8053,-162.69,-98.14,2.85,"A m",,"Alp",,"Gem","north",58.109480000000005
"Gem",1,10,36366,58946,2852,"Gl 274A","62Rho Gem","",7.485195,31.78455,18.0473,159.33,193.82,4.16,"F0V...",0.32,"Rho",,"Gem","north",58.215450000000004
"Gem",1,11,34693,54719,2697,"","46Tau Gem","",7.185659,30.245163,98.4252,-31,-48.4,4.41,"K2III",1.261,"Tau",,"Gem","north",59.754836999999995
"Gem",1,12,33018,50019,2540,"","34The Gem","",6.879816,33.961254,57.971,-2.66,-47.67,3.6,"A3III",0.102,"The",,"Gem","north",56.038746
"Gem",1,13,34693,54719,2697,"","46Tau Gem","",7.185659,30.245163,98.4252,-31,-48.4,4.41,"K2III",1.261,"Tau",,"Gem","north",59.754836999999995
"Gem",1,14,36046,58207,2821,"","60Iot Gem","",7.428779,27.79808,36.9004,-121.28,-84.43,3.78,"G9III+...",1.024,"Iot",,"Gem","north",62.20192
"Gem",1,15,36962,60522,2905,"","69Ups Gem","",7.598708,26.895741,83.0565,-39.58,-108.08,4.06,"K5III",1.54,"Ups",,"Gem","north",63.104259
"Gem",1,16,37826,62509,2990,"Gl 286","78Bet Gem","Pollux",7.755277,28.026199,10.3584,-625.69,-45.95,1.16,"K0IIIvar",0.991,"Bet",,"Gem","north",61.973801
"Gem",1,17,36962,60522,2905,"","69Ups Gem","",7.598708,26.895741,83.0565,-39.58,-108.08,4.06,"K5III",1.54,"Ups",,"Gem","north",63.104259
"Gem",1,18,37740,62345,2985,"","77Kap Gem","",7.740793,24.397993,43.3463,-22.45,-56.24,3.57,"G8III",0.932,"Kap",,"Gem","north",65.602007
"Gem",1,19,36962,60522,2905,"","69Ups Gem","",7.598708,26.895741,83.0565,-39.58,-108.08,4.06,"K5III",1.54,"Ups",,"Gem","north",63.104259
"Gem",1,20,35550,56986,2777,"Gl 271A","55Del Gem","Wasat",7.335383,21.98232,18.5391,-18.72,-7.76,3.5,"F0IV...",0.374,"Del",,"Gem","north",68.01768
"Gem",1,21,34088,52973,2650,"","43Zet Gem","Mekbuda",7.068481,20.570297,421.9409,-5.72,-0.96,4.01,"G3Ibv SB",0.899,"Zet",,"Gem","north",69.429703
